conference,gender,name,image_urls,year
Acts as Conference,male,Anthony Eden,,2009
Acts as Conference,male,Bryan Liles,,2009
Acts as Conference,male,Dan  Benjamin,,2009
Acts as Conference,male,David Heinemeier Hansson,,2009
Acts as Conference,male,Gregg Pollack,,2009
Acts as Conference,male,Guy Naor,,2009
Acts as Conference,male,Jason Seifer,,2009
Acts as Conference,male,Jim Weirich,,2009
Acts as Conference,male,Jon Larkowski,,2009
Acts as Conference,male,Matt Williams,,2009
Acts as Conference,male,Nathaniel Talbott,,2009
Acts as Conference,male,Patrick Peak,,2009
Acts as Conference,male,Paul Barry,,2009
Acts as Conference,male,Robert Dempsey,,2009
Acts as Conference,male,Steven Bristol,,2009
Acts as Conference,male,Tim Rosenblatt,,2009
Acts as Conference,male,Yehuda Katz,,2009
Acts as Conference,mostly_male,Bryce Kerley,,2009
Acts as Conference,mostly_male,Corey Haines,,2009
Acts as Conference,mostly_male,Will Leinweber,,2009
Adhearsion Conf,male,Ben Klang,,2011
Adhearsion Conf,male,Ben Klang,,2012
Adhearsion Conf,male,Ben Langfeld,,2011
Adhearsion Conf,male,Ben Langfeld,,2012
Adhearsion Conf,male,Daniel Beauchamp,,2011
Adhearsion Conf,male,Darren Schreiber,,2012
Adhearsion Conf,male,David Ryder,,2011
Adhearsion Conf,male,David Ryder,,2012
Adhearsion Conf,male,Evan McGee,,2012
Adhearsion Conf,male,Jason Goecke,,2011
Adhearsion Conf,male,Jason Goecke,,2012
Adhearsion Conf,male,Jonathan Rudenberg,,2011
Adhearsion Conf,male,Jose de Castro,,2011
Adhearsion Conf,male,Jose de Castro,,2012
Adhearsion Conf,male,Josh Kalderimis,,2012
Adhearsion Conf,male,Juan de Bravo,,2011
Adhearsion Conf,male,Lance Gleason,,2011
Adhearsion Conf,male,Luca Pradovera,,2012
Adhearsion Conf,male,Nathaniel Barnes,,2011
Adhearsion Conf,male,Paul Golding,,2011
Adhearsion Conf,male,Stephen George,,2011
Adhearsion Conf,male,Stephen George,,2012
Adhearsion Conf,male,Steve Sokol,,2011
Adhearsion Conf,male,Steve Sokol,,2012
Agile Roots,andy,Kealy Opelt,,2010
Agile Roots,andy,Pat Maddox,,2010
Agile Roots,andy,Pollyanna Pixton,,2009
Agile Roots,andy,Zhon Johansen,,2009
Agile Roots,andy,Zhon Johansen,,2010
Agile Roots,female,Desiree Sy,,2010
Agile Roots,female,Diana Larsen,,2009
Agile Roots,female,Diana Larsen,,2010
Agile Roots,female,Francine Goitz,,2010
Agile Roots,female,Nate Jones,,2010
